Results to get FER=0.01
Filename Time(ms) SNR
../gentests/Gallager/Gallager36M40Rm287/287_0.mtx 15439.6 2.25 
../gentests/Gallager/Gallager36M40Rm287/287_00.mtx 15487.4 2.25 
../gentests/Gallager/Gallager36M40Rm287/287_01.mtx 15743.1 2.1875 
../gentests/Gallager/Gallager36M40Rm287/287_02.mtx 16283 2.3125 
../gentests/Gallager/Gallager36M40Rm287/287_03.mtx 14438.3 2.25 
../gentests/Gallager/Gallager36M40Rm287/287_04.mtx 15333.1 2.25 
../gentests/Gallager/Gallager36M40Rm287/287_05.mtx 16960.7 2.1875 
../gentests/Gallager/Gallager36M40Rm287/287_06.mtx 17455.6 2.1875 
../gentests/Gallager/Gallager36M40Rm287/287_07.mtx 17398.3 2.1875 
../gentests/Gallager/Gallager36M40Rm287/287_08.mtx 16080.1 2.3125 
../gentests/Gallager/Gallager36M40Rm287/287_09.mtx 15995.4 2.3125 
../gentests/Gallager/Gallager36M40Rm287/287_1.mtx 15542.3 2.1875 
../gentests/Gallager/Gallager36M40Rm287/287_10.mtx 16906.4 2.3125 
../gentests/Gallager/Gallager36M40Rm287/287_11.mtx 16287.1 2.25 
../gentests/Gallager/Gallager36M40Rm287/287_12.mtx 15725.2 2.1875 
../gentests/Gallager/Gallager36M40Rm287/287_13.mtx 17133.7 2.3125 
../gentests/Gallager/Gallager36M40Rm287/287_14.mtx 15791.8 2.375 
../gentests/Gallager/Gallager36M40Rm287/287_15.mtx 15742.2 2.375 
../gentests/Gallager/Gallager36M40Rm287/287_16.mtx 16734.3 2.3125 
../gentests/Gallager/Gallager36M40Rm287/287_17.mtx 15665.4 2.25 
../gentests/Gallager/Gallager36M40Rm287/287_18.mtx 15246.9 2.25 
../gentests/Gallager/Gallager36M40Rm287/287_19.mtx 16425.3 2.3125 
../gentests/Gallager/Gallager36M40Rm287/287_2.mtx 16261.3 2.3125 
../gentests/Gallager/Gallager36M40Rm287/287_3.mtx 14399.3 2.25 
../gentests/Gallager/Gallager36M40Rm287/287_4.mtx 15335 2.25 
../gentests/Gallager/Gallager36M40Rm287/287_5.mtx 17165.2 2.1875 
../gentests/Gallager/Gallager36M40Rm287/287_6.mtx 16628.9 2.1875 
../gentests/Gallager/Gallager36M40Rm287/287_7.mtx 17449.2 2.1875 
../gentests/Gallager/Gallager36M40Rm287/287_8.mtx 16202.4 2.3125 
../gentests/Gallager/Gallager36M40Rm287/287_9.mtx 16121.2 2.3125 
