Results
Filename spectrum1 spectrum2 spectrum3 spectrum4 spectrum5 spectrum6 spectrum7 spectrum8 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/141.mtx 4:17 6:72 8:419 10:2371 12:14974 14:95891 16:628478 18:4196969 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/114.mtx 4:24 6:121 8:769 10:5172 12:38180 14:288372 16:2213100 18:17279812 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/074.mtx 4:25 6:151 8:1186 10:8874 12:70952 14:593273 16:5054512 18:43765510 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/977.mtx 4:19 6:127 8:802 10:5473 12:40230 14:306259 16:2372318 18:18680297 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/894.mtx 4:22 6:95 8:708 10:4488 12:32266 14:232203 16:1743370 18:13165485 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/478.mtx 4:20 6:145 8:929 10:6590 12:50790 14:399306 16:3223455 18:26336404 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/891.mtx 4:20 6:124 8:621 10:3998 12:28382 14:203335 16:1487389 18:11044580 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/760.mtx 4:26 6:129 8:895 10:6666 12:50394 14:395998 16:3187391 18:26032836 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/407.mtx 4:30 6:112 8:884 10:5842 12:45039 14:340912 16:2713291 18:21658356 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/831.mtx 4:19 6:71 8:470 10:2740 12:17597 14:115897 16:781116 18:5354773 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/466.mtx 4:30 6:151 8:988 10:7535 12:60034 14:481965 16:4001549 18:33620192 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/384.mtx 4:16 6:104 8:614 10:4054 12:27408 14:195042 16:1420753 18:10490322 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/277.mtx 4:19 6:102 8:586 10:4034 12:27129 14:192633 16:1399333 18:10312045 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/177.mtx 4:20 6:136 8:923 10:6438 12:49270 14:385358 16:3087747 18:25132180 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/868.mtx 4:16 6:106 8:643 10:3990 12:28132 14:200060 16:1458751 18:10809980 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/456.mtx 4:26 6:137 8:844 10:6513 12:49169 14:384503 16:3078996 18:25034958 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/256.mtx 4:32 6:135 8:1231 10:8725 12:71079 14:594869 16:5076232 18:43932495 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/673.mtx 4:22 6:91 8:642 10:4017 12:27773 14:198607 16:1447001 18:10706293 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/845.mtx 4:27 6:135 8:1065 10:7848 12:62338 14:501795 16:4190732 18:35438624 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/248.mtx 4:17 6:67 8:328 10:1956 12:11488 14:70622 16:445822 18:2839973 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/416.mtx 4:23 6:145 8:1040 10:7482 12:59101 14:475185 16:3928789 18:32956337 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/415.mtx 4:27 6:110 8:808 10:5427 12:40993 14:309050 16:2400041 18:18927348 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/091.mtx 4:19 6:78 8:453 10:2598 12:17217 14:111371 16:754133 18:5115198 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/928.mtx 4:19 6:168 8:994 10:7584 12:59725 14:481730 16:3986706 18:33493102 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/373.mtx 4:16 6:110 8:617 10:3963 12:28051 14:197522 16:1438436 18:10656533 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/063.mtx 4:21 6:105 8:792 10:5006 12:37022 14:273871 16:2098127 18:16252113 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/295.mtx 4:23 6:107 8:715 10:4856 12:34647 14:256590 16:1940306 18:14897392 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/130.mtx 4:23 6:130 8:759 10:5593 12:40831 14:310287 16:2412191 18:19029656 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/306.mtx 4:21 6:83 8:579 10:3390 12:23348 14:160694 16:1138659 18:8167316 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/432.mtx 4:12 6:114 8:615 10:3851 12:26732 14:188227 16:1365932 18:10031885 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/404.mtx 4:24 6:118 8:788 10:5661 12:41086 14:313597 16:2441294 18:19275802 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/142.mtx 4:22 6:137 8:900 10:6567 12:49710 14:390009 16:3131616 18:25524969 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/286.mtx 4:20 6:107 8:617 10:4299 12:29829 14:214563 16:1576436 18:11802569 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/592.mtx 4:24 6:113 8:718 10:4627 12:34433 14:252676 16:1907687 18:14606377 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/712.mtx 4:22 6:111 8:747 10:5043 12:37123 14:274485 16:2093215 18:16252064 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/108.mtx 4:23 6:155 8:1020 10:7523 12:59615 14:481594 16:3982161 18:33463449 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/427.mtx 4:22 6:117 8:697 10:4835 12:34842 14:257806 16:1946961 18:14953488 
