Results to get FER=0.001
Filename Time(ms) SNR
../gentests/Gallager/Gallager36M10Rm354/354_00.mtx 16643.3 3.78125 
../gentests/Gallager/Gallager36M10Rm354/354_01.mtx 15695.7 3.65625 
../gentests/Gallager/Gallager36M10Rm354/354_02.mtx 15766.9 3.73828 
../gentests/Gallager/Gallager36M10Rm354/354_03.mtx 14847.2 3.73828 
../gentests/Gallager/Gallager36M10Rm354/354_04.mtx 5010.6 5 
../gentests/Gallager/Gallager36M10Rm354/354_05.mtx 16334.8 3.70703 
../gentests/Gallager/Gallager36M10Rm354/354_06.mtx 17795.1 3.53906 
../gentests/Gallager/Gallager36M10Rm354/354_07.mtx 16801.8 3.76172 
../gentests/Gallager/Gallager36M10Rm354/354_08.mtx 15060.3 3.73828 
../gentests/Gallager/Gallager36M10Rm354/354_09.mtx 14808.5 3.89453 
../gentests/Gallager/Gallager36M10Rm354/354_10.mtx 16480.9 3.64062 
../gentests/Gallager/Gallager36M10Rm354/354_11.mtx 14447.3 3.73438 
../gentests/Gallager/Gallager36M10Rm354/354_12.mtx 17422.2 3.64844 
../gentests/Gallager/Gallager36M10Rm354/354_13.mtx 14181.9 4.13672 
../gentests/Gallager/Gallager36M10Rm354/354_14.mtx 17049.8 3.61328 
../gentests/Gallager/Gallager36M10Rm354/354_15.mtx 16838.3 3.60547 
../gentests/Gallager/Gallager36M10Rm354/354_16.mtx 7054.01 5 
../gentests/Gallager/Gallager36M10Rm354/354_17.mtx 15311.5 3.71484 
../gentests/Gallager/Gallager36M10Rm354/354_18.mtx 16020.3 3.78516 
../gentests/Gallager/Gallager36M10Rm354/354_19.mtx 13591.5 3.8125 
