Results
Filename spectrum1 spectrum2 spectrum3 spectrum4 spectrum5 spectrum6 spectrum7 spectrum8 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/189.mtx 4:36 6:123 8:1453 10:9410 12:86172 14:702764 16:6300222 18:55339971 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/041.mtx 4:37 6:118 8:1452 10:9470 12:86014 14:703018 16:6301134 18:55329634 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/211.mtx 4:42 6:125 8:1422 10:9332 12:86221 14:702828 16:6299922 18:55346653 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/141.mtx 4:38 6:130 8:1403 10:9392 12:86577 14:702090 16:6300110 18:55344528 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/114.mtx 4:40 6:122 8:1416 10:9396 12:86379 14:702862 16:6299933 18:55341264 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/074.mtx 4:39 6:118 8:1427 10:9482 12:86196 14:702390 16:6301768 18:55339030 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/977.mtx 4:35 6:130 8:1457 10:9350 12:86082 14:702838 16:6301554 18:55339722 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/894.mtx 4:34 6:125 8:1498 10:9276 12:86013 14:703716 16:6298838 18:55344061 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/478.mtx 4:51 6:119 8:1448 10:9477 12:85508 14:702998 16:6300704 18:55334340 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/891.mtx 4:48 6:131 8:1477 10:9430 12:85628 14:703676 16:6300139 18:55327507 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/760.mtx 4:40 6:120 8:1434 10:9368 12:86228 14:703392 16:6299546 18:55338816 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/407.mtx 4:47 6:126 8:1443 10:9322 12:86096 14:702810 16:6296326 18:55338678 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/831.mtx 4:41 6:108 8:1494 10:9256 12:86297 14:702448 16:6304116 18:55333864 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/466.mtx 4:54 6:126 8:1549 10:9588 12:86997 14:704914 16:6310867 18:55381480 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/384.mtx 4:35 6:132 8:1491 10:9252 12:85699 14:703728 16:6302135 18:55340284 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/277.mtx 4:37 6:126 8:1432 10:9358 12:86460 14:703262 16:6297458 18:55335962 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/177.mtx 4:38 6:129 8:1414 10:9360 12:86459 14:703080 16:6299323 18:55332793 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/868.mtx 4:44 6:136 8:1402 10:9232 12:85970 14:703340 16:6304607 18:55343000 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/456.mtx 4:41 6:125 8:1407 10:9369 12:86179 14:703578 16:6302759 18:55329698 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/256.mtx 4:41 6:122 8:1406 10:9378 12:86478 14:703366 16:6297702 18:55337526 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/673.mtx 4:49 6:117 8:1459 10:9401 12:86111 14:702026 16:6295099 18:55345018 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/845.mtx 4:48 6:96 8:1404 10:9528 12:86294 14:703356 16:6298405 18:55337112 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/248.mtx 4:38 6:130 8:1461 10:9288 12:85863 14:703630 16:6300719 18:55336944 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/416.mtx 4:43 6:128 8:1417 10:9352 12:86103 14:702592 16:6299578 18:55346168 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/415.mtx 4:39 6:126 8:1427 10:9390 12:86088 14:702958 16:6302348 18:55334546 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/091.mtx 4:27 6:141 8:1510 10:9247 12:86153 14:702816 16:6299979 18:55340428 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/928.mtx 4:37 6:134 8:1414 10:9362 12:86450 14:702046 16:6301139 18:55340758 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/373.mtx 4:32 6:135 8:1451 10:9342 12:86506 14:702360 16:6299408 18:55335943 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/063.mtx 4:40 6:116 8:1416 10:9492 12:86352 14:702572 16:6299473 18:55335656 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/295.mtx 4:32 6:128 8:1468 10:9428 12:86294 14:701952 16:6298369 18:55340888 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/130.mtx 4:29 6:137 8:1491 10:9285 12:86311 14:702946 16:6297240 18:55337682 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/306.mtx 4:40 6:133 8:1413 10:9278 12:86293 14:703298 16:6301097 18:55341673 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/432.mtx 4:33 6:123 8:1483 10:9411 12:86114 14:702700 16:6298703 18:55339522 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/404.mtx 4:36 6:128 8:1430 10:9388 12:86358 14:703152 16:6300411 18:55323880 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/142.mtx 4:40 6:127 8:1451 10:9270 12:85890 14:704112 16:6301690 18:55334695 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/286.mtx 4:43 6:125 8:1398 10:9403 12:86053 14:702972 16:6303467 18:55334560 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/592.mtx 4:39 6:122 8:1451 10:9394 12:85914 14:702902 16:6301376 18:55341198 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/712.mtx 4:36 6:125 8:1471 10:9286 12:86101 14:704070 16:6299817 18:55334385 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/108.mtx 4:44 6:139 8:1445 10:9406 12:85808 14:702248 16:6300924 18:55326835 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/427.mtx 4:40 6:113 8:1481 10:9306 12:86059 14:703726 16:6298499 18:55340109 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/699.mtx 4:37 6:128 8:1462 10:9248 12:86177 14:703888 16:6299109 18:55341600 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/370.mtx 4:35 6:127 8:1460 10:9385 12:86028 14:702974 16:6300954 18:55336352 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/990.mtx 4:35 6:122 8:1471 10:9358 12:86232 14:703522 16:6297515 18:55335810 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/964.mtx 4:46 6:127 8:1430 10:9216 12:85954 14:703282 16:6302549 18:55346971 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/930.mtx 4:40 6:117 8:1477 10:9282 12:86185 14:702690 16:6299921 18:55347729 
