Results
Filename SNR Time(ms) BER% FER%
../gentests/ComparableTest/b5_10_0000_01.mtx 3.9 1809.45 0.00473319 0.0694444 
../gentests/ComparableTest/b5_10_0000_01.mtx 4 2275.32 0.00288582 0.0505817 
../gentests/ComparableTest/b5_10_0000_01.mtx 4.1 2848.22 0.00233569 0.0373552 
../gentests/ComparableTest/b5_10_0000_01.mtx 4.2 3101.77 0.00203323 0.0319795 
../gentests/ComparableTest/b5_10_0000_01.mtx 4.3 4651.1 0.00124894 0.0196928 
../gentests/ComparableTest/b5_10_0000_01.mtx 4.4 5721.64 0.000847578 0.0149388 
../gentests/ComparableTest/b5_10_0000_01.mtx 4.5 8450.46 0.00054563 0.00949487 
../gentests/ComparableTest/b5_10_0000_01.mtx 4.6 0.001088 0.00054563 0.00949487 
../gentests/ComparableTest/b5_10_0000_01.mtx 4.7 0.001184 0.00054563 0.00949487 
../gentests/ComparableTest/b5_10_0000_01.mtx 4.8 0.00112 0.00054563 0.00949487 
../gentests/ComparableTest/b5_10_0000_01.mtx 4.9 0.001088 0.00054563 0.00949487 
../gentests/ComparableTest/b5_10_0000_01.mtx 5 0.001056 0.00054563 0.00949487 
../gentests/ComparableTest/b5_10_0000_02.mtx 1 48.1995 6.17632 62 
../gentests/ComparableTest/b5_10_0000_02.mtx 1.1 46.9204 5.46053 58 
../gentests/ComparableTest/b5_10_0000_02.mtx 1.2 46.4146 4.63684 51.5 
../gentests/ComparableTest/b5_10_0000_02.mtx 1.3 53.882 4.52105 49.3333 
../gentests/ComparableTest/b5_10_0000_02.mtx 1.4 54.7198 4.2 45 
../gentests/ComparableTest/b5_10_0000_02.mtx 1.5 52.6824 3.64737 41 
../gentests/ComparableTest/b5_10_0000_02.mtx 1.6 51.2956 3.2193 35.6667 
../gentests/ComparableTest/b5_10_0000_02.mtx 1.7 57.2002 2.74868 32.25 
../gentests/ComparableTest/b5_10_0000_02.mtx 1.8 53.8289 2.18158 26.75 
../gentests/ComparableTest/b5_10_0000_02.mtx 1.9 59.6613 2.14105 25.4 
