Results
Filename SNR Time(ms) BER FER
../tests/wimax_576_0.5.alist 1 632.611 0.0411169 0.476667
../tests/wimax_576_0.5.alist 1.1 615.593 0.0303472 0.366667
../tests/wimax_576_0.5.alist 1.2 631.271 0.0241233 0.2925
../tests/wimax_576_0.5.alist 1.3 640.063 0.0195625 0.242
../tests/wimax_576_0.5.alist 1.4 643.629 0.0146846 0.18
../tests/wimax_576_0.5.alist 1.5 651.198 0.0115352 0.145714
../tests/wimax_576_0.5.alist 1.6 708.876 0.00826231 0.0990909
../tests/wimax_576_0.5.alist 1.7 736.662 0.00559028 0.0742857
../tests/wimax_576_0.5.alist 1.8 828.783 0.00340751 0.0459091
../tests/wimax_576_0.5.alist 1.9 953.385 0.00203522 0.0288571
../tests/wimax_576_0.5.alist 2 1169.04 0.00124012 0.0174138
../tests/wimax_576_0.5.alist 2.1 1443.83 0.000751195 0.0107527
../tests/wimax_576_0.5.alist 2.2 1718.27 0.000520436 0.00770992
../tests/wimax_576_0.5.alist 2.3 2405.08 0.000316483 0.004329
../tests/wimax_576_0.5.alist 2.4 3193.91 0.000187434 0.00271739
../tests/wimax_576_0.5.alist 2.5 4256.05 0.000122573 0.00176991
../tests/wimax_576_0.5.alist 2.6 6096 7.1488e-05 0.00107991
../tests/wimax_576_0.5.alist 2.7 6961 5.97234e-05 0.000874891
../tests/wimax_576_0.5.alist 2.8 9319.14 4.49877e-05 0.000596659
../tests/wimax_576_0.5.alist 2.9 8812.25 4.95047e-05 0.000601323
../tests/wimax_576_0.5.alist 3 12371.1 2.39302e-05 0.000397456
../tests/wimax_576_0.5.alist 3.1 11804.7 2.65498e-05 0.000398248
../tests/wimax_576_0.5.alist 3.2 12813.2 2.09998e-05 0.000349895
../tests/wimax_576_0.5.alist 3.3 13756.5 2.05655e-05 0.000312305
../tests/wimax_576_0.5.alist 3.4 13153.2 1.91301e-05 0.000315457
../tests/wimax_576_0.5.alist 3.5 12921.7 2.229e-05 0.000308928
